depth;pointid;oc;th_lat;th_long;survey_date;elev;lc0_desc;lc1_desc;lu1_desc
0-20 cm;145482622;50.2;46.67059222;12.96445362;15/06/18;0;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;145542620;58.1;46.65041528;13.04170233;11/06/18;0;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;145642652;40.3;46.93447096;13.1894286;07/06/18;0;Artificial land;Non built-up area features;Construction
0-20 cm;145642656;61.1;46.97044528;13.19161038;07/06/18;0;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;145682634;102.7;46.77102174;13.23194044;01/06/18;0;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;145722612;236;46.57156268;13.27199429;11/06/18;0;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;145722614;113.1;46.58955263;13.27310089;15/06/18;0;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;145842658;62.6;46.98036456;13.45515561;12/06/18;0;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;145882618;52.3;46.61897682;13.48384238;14/06/18;0;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;145902624;265.9;46.67208777;13.51347386;03/07/18;0;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;145962662;43.7;47.01118125;13.6150654;14/05/18;0;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;146022620;132.3;46.63089403;13.66750419;03/07/18;0;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;146022632;129;46.73879624;13.67497545;09/05/18;0;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;146062628;97.5;46.70103584;13.72468177;09/05/18;0;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;146082614;81.7;46.57424737;13.74189902;03/07/18;0;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;146122616;313.3;46.59040369;13.7952553;28/07/18;0;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;147242740;106.3;47.64203726;15.36526405;02/07/18;0;Woodland;Spruce dominated coniferous woodland;Forestry
